country / region,location,Address/Official website link
Mainland China,Beijing,"Dongcheng, China, 100006 [1]"
Australia,Sydney,[2]
New Zealand,Campbells Bay,"7 Centennial Place, Campbells Bay, Auckland 0630, New Zealand"
Belgium ( European Union),Brussels,[3]
United Kingdom,London,"25 North Row, London W1K 6DJ, United Kingdom"
United Kingdom,Oxford,"1st Floor, Chester House, 21-27 George Street, Oxford OX1 2AU, United Kingdom"
Switzerland,Genève,[4]
Japan,Tokyo,[5]
South Korea,Seoul,[6]
Thailand,Bangkok,[7]
Malaysia,Kuala Lumpur,[8]
India,Mumbai,"9th Floor, Tower A, Urmi Estate, 95, Ganpatrao Kadam Marg, Lower Parel (W), Mumbai 400013, India"
India,New Delhi,"707, 7th Floor, Prakash Deep Building, 7 Tolstoy Marg, Connaught Place, New Delhi, 110001, India"
Indonesia ( ASEAN),Jakarta,[9]
Russia,Moscow,[10]
Hong Kong,Hong Kong,"Flat 3, 7/F, Charm Centre, No. 700 Castle Peak Road, Cheung Sha Wan, Kowloon, Hong Kong"
Taiwan,Taiwan,[11]
United States,California,[12]
United States,New York,[12]
Portugal,Lisbon,[13]
